name,ticker,Bloomberg ticker,S&P rating,Moody rating,country,cik,isin,cusip,Sector,-,Industry
Walmart Inc.,WMT,WMT US equity,AA,Aa2,US,104169.0,US9311421039,931142103,Consumer Defensive,Discount Stores,Discount Stores
"Amazon.com, Inc.",AMZN,AMZN US equity,AA,A1,US,1018724.0,US0231351067,023135106,Consumer Cyclical,Internet Retail,Specialty Retail
,386,386 HK equity,A+,,,,,,,,
Apple Inc.,AAPL,AAPL US equity,AA+,Aaa,US,320193.0,US0378331005,037833100,Technology,Consumer Electronics,Consumer Electronics
CVS Health Corporation,CVS,CVS US equity,BBB,Baa2,US,64803.0,US1266501006,126650100,Healthcare,Healthcare Plans,Medical - Healthcare Plans
,7203,7203 JP equity,A+,A1,,,,,,,
,BRK/A,BRK/A US equity,AA,Aa2,,,,,,,
McKesson Corporation,MCK,MCK US equity,BBB+,Baa1,US,927653.0,US58155Q1031,58155Q103,Healthcare,Medical Distribution,Medical - Distribution
Exxon Mobil Corporation,XOM,XOM US equity,AA-,Aa2,US,34088.0,US30231G1022,30231G102,Energy,Oil & Gas Integrated,Oil & Gas Integrated
Alphabet Inc.,GOOG,GOOG US equity,AA+,Aa2,US,1652044.0,US02079K1079,02079K107,Communication Services,Internet Content & Information,Internet Content & Information
AmerisourceBergen Corporation,ABC,ABC US equity,BBB+,Baa2,US,1140859.0,US03073E1055,03073E105,Healthcare,Medical Distribution,Medical - Distribution
,BP.,BP. US equity,A-,,,,,,,,
Costco Wholesale Corporation,COST,COST US equity,A+,Aa3,US,909832.0,US22160K1051,22160K105,Consumer Defensive,Discount Stores,Discount Stores
Microsoft Corporation,MSFT,MSFT US equity,AAA,Aaa,US,789019.0,US5949181045,594918104,Technology,Software—Infrastructure,Software - Infrastructure
AT&T Inc.,T,T US equity,BBB,Baa2,US,732717.0,US00206R1023,00206R102,Communication Services,Telecom Services,Telecommunications Services
"Cardinal Health, Inc.",CAH,CAH US equity,BBB,Baa2,US,721371.0,US14149Y1082,14149Y108,Healthcare,Medical Distribution,Medical - Distribution
TotalEnergies SE,TTE,TTE US equity,A+,A1,FR,879764.0,US89151E1091,89151E109,Energy,Oil & Gas Integrated,Oil & Gas Integrated
"The Home Depot, Inc.",HD,HD US equity,A,A2,US,354950.0,US4370761029,437076102,Consumer Cyclical,Home Improvement Retail,Home Improvement
The Kroger Co.,KR,KR US equity,BBB,Baa1,US,56873.0,US5010441013,501044101,Consumer Defensive,Grocery Stores,Grocery Stores
"Walgreens Boots Alliance, Inc.",WBA,WBA US equity,BBB,Baa3,US,1618921.0,US9314271084,931427108,Healthcare,Pharmaceutical Retailers,Medical - Pharmaceuticals
Ford Motor Company,F,F US equity,BB+,Ba2,US,37996.0,US3453708600,345370860,Consumer Cyclical,Auto Manufacturers,Auto - Manufacturers
Chevron Corporation,CVX,CVX US equity,AA-,Aa2,US,93410.0,US1667641005,166764100,Energy,Oil & Gas Integrated,Oil & Gas Integrated
Verizon Communications Inc.,VZ,VZ US equity,BBB+,Baa1,US,732712.0,US92343V1044,92343V104,Communication Services,Telecom Services,Telecommunications Services
JPMorgan Chase & Co.,JPM,JPM US equity,A-,A1,US,19617.0,US46625H1005,46625H100,Financial Services,Banks—Diversified,Banks - Diversified
General Motors Company,GM,GM US equity,BBB,Baa2,US,1467858.0,US37045V1008,37045V100,Consumer Cyclical,Auto Manufacturers,Auto - Manufacturers
Alibaba Group Holding Limited,BABA,BABA US equity,A+,A1,CN,1577552.0,US01609W1027,01609W102,Consumer Cyclical,Internet Retail,Specialty Retail
Comcast Corporation,CMCSA,CMCSA US equity,A-,A3,US,1166691.0,US20030N1019,20030N101,Communication Services,Telecom Services,Telecommunications Services
Dell Technologies Inc.,DELL,DELL US equity,BBB,,US,1571996.0,US24703L2025,24703L202,Technology,Computer Hardware,Computer Hardware
Target Corporation,TGT,TGT US equity,A,A2,US,27419.0,US87612E1064,87612E106,Consumer Defensive,Discount Stores,Discount Stores
Marathon Petroleum Corporation,MPC,MPC US equity,BBB,Baa2,US,1510295.0,US56585A1025,56585A102,Energy,Oil & Gas Refining & Marketing,Oil & Gas Refining & Marketing
Phillips 66,PSX,PSX US equity,BBB+,A3,US,1534701.0,US7185461040,718546104,Energy,Oil & Gas Refining & Marketing,Oil & Gas Refining & Marketing
"Lowe's Companies, Inc.",LOW,LOW US equity,BBB+,Baa1,US,60667.0,US5486611073,548661107,Consumer Cyclical,Home Improvement Retail,Home Improvement
Valero Energy Corporation,VLO,VLO US equity,BBB,Baa2,US,1035002.0,US91913Y1001,91913Y100,Energy,Oil & Gas Refining & Marketing,Oil & Gas Refining & Marketing
"United Parcel Service, Inc.",UPS,UPS US equity,A,A2,US,1090727.0,US9113121068,911312106,Industrials,Integrated Freight & Logistics,Integrated Freight & Logistics
Johnson & Johnson,JNJ,JNJ US equity,AAA,Aaa,US,200406.0,US4781601046,478160104,Healthcare,Drug Manufacturers—General,Drug Manufacturers - General
Bank of America Corporation,BAC,BAC US equity,A-,A1,US,70858.0,US0605051046,060505104,Financial Services,Banks—Diversified,Banks - Diversified
FedEx Corporation,FDX,FDX US equity,BBB,Baa2,US,1048911.0,US31428X1063,31428X106,Industrials,Integrated Freight & Logistics,Integrated Freight & Logistics
,6758,6758 JP equity,A,A3,,,,,,,
Archer-Daniels-Midland Company,ADM,ADM US equity,A,A2,US,7084.0,US0394831020,039483102,Consumer Defensive,Farm Products,Agricultural Farm Products
"T-Mobile US, Inc.",TMUS,TMUS US equity,BBB-,,US,1283699.0,US8725901040,872590104,Communication Services,Telecom Services,Telecommunications Services
General Electric Company,GE,GE US equity,BBB+,Baa1,US,40545.0,US3696041033,369604301,Industrials,Specialty Industrial Machinery,Aerospace & Defense
Intel Corporation,INTC,INTC US equity,A,A2,US,50863.0,US4581401001,458140100,Technology,Semiconductors,Semiconductors
Wells Fargo & Company,WFC,WFC US equity,BBB+,A1,US,72971.0,US9497461015,949746101,Financial Services,Banks—Diversified,Banks - Diversified
The Procter & Gamble Company,PG,PG US equity,AA-,Aa3,US,80424.0,US7427181091,742718109,Consumer Defensive,Household & Personal Products,Household & Personal Products
"PepsiCo, Inc.",PEP,PEP US equity,A+,A1,US,77476.0,US7134481081,713448108,Consumer Defensive,Beverages—Non-Alcoholic,Beverages - Non-Alcoholic
International Business Machines Corporation,IBM,IBM US equity,A-,A3,US,51143.0,US4592001014,459200101,Technology,Information Technology Services,Information Technology Services
Citigroup Inc.,C,C US equity,BBB+,A3,US,831001.0,US1729674242,172967424,Financial Services,Banks—Diversified,Banks - Diversified
Brookfield Asset Management Inc.,BAM,BAM US equity,,,CA,1001085.0,CA1125851040,112585104,Financial Services,Asset Management,Asset Management
,PETR4,PETR4 BZ equity,#N/A Invalid Security,#N/A Invalid Security,,,,,,,
ArcelorMittal S.A.,MT,MT US equity,BBB-,Baa3,LU,1243429.0,US03938L2034,03938L203,Basic Materials,Steel,Steel
,ENI,ENI US equity,BBB-,Baa2,,,,,,,
"Albertsons Companies, Inc.",ACI,ACI US equity,BB *+,Ba3 *+,US,1646972.0,US0130911037,013091103,Consumer Defensive,Grocery Stores,Grocery Stores
Equinor ASA,EQNR,EQNR US equity,AA-,Aa2,NO,1140625.0,US29446M1027,29446M102,Energy,Oil & Gas Integrated,Oil & Gas Integrated
Pfizer Inc.,PFE,PFE US equity,A+,A1,US,78003.0,US7170811035,717081103,Healthcare,Drug Manufacturers—General,Drug Manufacturers - General
The Walt Disney Company,DIS,DIS US equity,BBB+,A2,US,1744489.0,US2546871060,254687106,Communication Services,Entertainment,Entertainment
Lockheed Martin Corporation,LMT,LMT US equity,A-,A3,US,936468.0,US5398301094,539830109,Industrials,Aerospace & Defense,Aerospace & Defense
Raytheon Technologies Corporation,RTX,RTX US equity,A-,Baa1,US,101829.0,US75513E1010,75513E101,Industrials,Aerospace & Defense,Aerospace & Defense
HP Inc.,HPQ,HPQ US equity,BBB,Baa2,US,47217.0,US40434L1052,40434L105,Technology,Computer Hardware,Computer Hardware
The Boeing Company,BA,BA US equity,BBB-,Baa2,US,12927.0,US0970231058,097023105,Industrials,Aerospace & Defense,Aerospace & Defense
,ULVR,ULVR LN equity,A+,A1,,,,,,,
Energy Transfer LP,ET,ET US equity,BBB-,Baa3,US,1276187.0,US29273V1008,29273V100,Energy,Oil & Gas Midstream,Oil & Gas Midstream
Morgan Stanley,MS,MS US equity,A-,A1,US,895421.0,US6174464486,617446448,Financial Services,Capital Markets,Financial - Capital Markets
"The Goldman Sachs Group, Inc.",GS,GS US equity,BBB+,A2,US,886982.0,US38141G1040,38141G104,Financial Services,Capital Markets,Financial - Capital Markets
"HCA Healthcare, Inc.",HCA,HCA US equity,BBB-,WR,US,860730.0,US40412C1018,40412C101,Healthcare,Medical Care Facilities,Medical - Care Facilities
Sysco Corporation,SYY,SYY US equity,BBB,Baa1,US,96021.0,US8718291078,871829107,Consumer Defensive,Food Distribution,Food Distribution
,VALE3,VALE US equity,BBB-,Baa3,,,,,,,
AbbVie Inc.,ABBV,ABBV US equity,BBB+,Baa1,US,1551152.0,US00287Y1091,00287Y109,Healthcare,Drug Manufacturers—General,Drug Manufacturers - General
Bunge Limited,BG,BG US equity,BBB,,US,1144519.0,BMG169621056,G16962105,Consumer Defensive,Farm Products,Agricultural Farm Products
,2330,2330 TT equity,AA-,,,,,,,,
Accenture plc,ACN,ACN US equity,AA-,,IE,1467373.0,IE00B4BNMY34,G1151C101,Technology,Information Technology Services,Information Technology Services
"Telefónica, S.A.",TEF,TEF US equity,BBB-,Baa3,ES,814052.0,US8793822086,879382208,Technology,Telecom Services - Foreign,Telecommunications Services
"Merck & Co., Inc.",MRK,MRK US equity,A+,A1,US,310158.0,US58933Y1055,58933Y105,Healthcare,Drug Manufacturers—General,Drug Manufacturers - General
"Novan, Inc.",NOVN,NOVN US equity,,,US,1467154.0,US66988N2053,66988N205,Healthcare,Biotechnology,Biotechnology
